Table 3. Age of reference person: Average annual expenditures and characteristics, Consumer Expenditure Survey, 2001                                                                                    
                                                                                                                                                                                                        
                                                                                                                                                                                                        
                                                 All      Under                                             65 and              75 and                                                                  
                    Item                       consumer     25      25-34     35-44     45-54     55-64      over     65-74      over                                                                   
                                                units                                                                                                                                                   
                                                                                                                                       
                                                                
Number of consumer units (in thousands)......  110,339     8,598    18,515    24,422    22,317    14,549    21,938    11,342    10,596                                                                  
Income before taxes a/ ......................  $47,507   $20,769   $49,424   $58,902   $61,093   $51,965   $27,528   $32,365   $22,255                                                                  
Income after taxes a/ .......................   44,587    20,330    46,490    55,326    56,499    48,433    26,414    30,801    21,631                                                                  
Age of the reference person..................     48.1      21.4      29.8      39.6      49.4      59.2      75.0      69.3      81.1                                                                  
Average number in consumer unit:                                                                                                                                                                        
 Persons.....................................      2.5       1.9       2.9       3.3       2.7       2.1       1.7       1.9       1.5                                                                  
 Children under 18...........................       .7        .3       1.1       1.4        .6        .2        .1        .1        b/                                                                  
 Persons 65 and over.........................       .3        b/        b/        b/        b/        .1       1.4       1.4       1.3                                                                  
 Earners.....................................      1.4       1.3       1.5       1.7       1.8       1.3        .4        .6        .3                                                                  
 Vehicles....................................      1.9       1.2       1.8       2.1       2.4       2.3       1.5       1.8       1.2                                                                  
Percent distribution:                                                                                                                                                                                   
 Male........................................       51        48        54        51        54        56        46        51        40                                                                  
 Female......................................       49        52        46        49        46        44        54        49        60                                                                  
 Homeowner...................................       66        13        48        68        77        81        80        82        78                                                                  
  With mortgage..............................       40         6        40        57        56        42        18        25        10                                                                  
  Without mortgage...........................       26         6         9        11        21        38        62        57        68                                                                  
 Renter......................................       34        87        52        32        23        19        20        18        22                                                                  
 Black.......................................       12        12        14        14        12        11         9        11         6                                                                  
 White and other.............................       88        88        86        86        88        89        91        89        94                                                                  
 Elementary (1-8)............................        6         1         3         3         4         6        14        11        17                                                                  
 High school (9-12)..........................       38        29        34        38        34        41        48        49        48                                                                  
 College.....................................       56        70        62        59        61        53        37        40        35                                                                  
 Never attended and other....................       c/        c/        c/        c/        c/        c/        c/        c/         1                                                                  
 At least one vehicle owned or leased........       88        72        89        92        92        92        82        87        76                                                                  
Average annual expenditures..................   $39,518   $23,526   $39,451   $46,908   $47,930   $41,462   $27,714   $32,023   $23,099                                                                 
 Food........................................    5,321     3,724     5,214     6,242     6,451     5,442     3,749     4,209     3,255                                                                  
    Food at home.............................    3,086     1,857     2,936     3,589     3,659     3,238     2,435     2,597     2,261                                                                  
      Cereals and bakery products............      452       276       419       535       522       463       377       386       367                                                                  
        Cereals and cereal products..........      156       112       160       188       176       147       122       124       119                                                                  
        Bakery products......................      296       164       259       348       347       315       255       262       248                                                                  
      Meats, poultry, fish, and eggs.........      828       472       791       948       999       898       641       697       581                                                                  
        Beef.................................      248       147       241       274       308       266       191       215       166                                                                  
        Pork.................................      177        88       167       196       211       205       148       161       134                                                                  
        Other meats..........................      102        60        91       127       124       103        77        80        74                                                                  
