Table 3. Age of reference person: Average annual expenditures and characteristics, Consumer Expenditure Survey, 2002                                                                                    
                                                                                                                                                                                                        
                                                                                                                                                                                                        
                                                 All      Under                                             65 and              75 and                                                                  
                    Item                       consumer     25      25-34     35-44     45-54     55-64      over     65-74      over                                                                   
                                                units                                                                                                                                                   
                                                                                                                                       
                                                                
Number of consumer units (in thousands)......  112,108     8,737    18,988    24,394    22,691    15,314    21,983    11,216    10,767                                                                  
Income before taxes a/ ......................  $49,430   $20,773   $49,133   $61,532   $64,974   $53,162   $29,711   $35,118   $23,890                                                                  
Income after taxes a/ .......................   46,934    20,206    46,875    58,457    60,923    50,306    28,674    33,562    23,411                                                                  
Age of the reference person..................     48.1      21.3      29.8      39.7      49.2      59.1      75.0      69.4      80.8                                                                  
Average number in consumer unit:                                                                                                                                                                        
 Persons.....................................      2.5       1.9       2.9       3.2       2.7       2.1       1.7       1.9       1.5                                                                  
 Children under 18...........................       .7        .4       1.1       1.3        .6        .2        .1        .1        b/                                                                  
 Persons 65 and over.........................       .3        b/        b/        b/        b/        .1       1.4       1.4       1.3                                                                  
 Earners.....................................      1.4       1.3       1.5       1.7       1.8       1.3        .5        .6        .3                                                                  
 Vehicles....................................      2.0       1.1       1.8       2.2       2.4       2.2       1.5       1.9       1.2                                                                  
Percent distribution:                                                                                                                                                                                   
 Male........................................       51        46        52        52        54        54        46        51        42                                                                  
 Female......................................       49        54        48        48        46        46        54        49        58                                                                  
 Homeowner...................................       66        15        49        68        76        81        80        84        77                                                                  
  With mortgage..............................       41         8        42        56        56        43        18        26         9                                                                  
  Without mortgage...........................       26         7         8        12        20        38        62        58        67                                                                  
 Renter......................................       34        85        51        32        24        19        20        16        23                                                                  
 Black.......................................       12        12        14        14        12        11         9        10         7                                                                  
 White and other.............................       88        88        86        86        88        89        91        90        93                                                                  
 Elementary (1-8)............................        6         2         3         4         4         6        14        10        18                                                                  
 High school (9-12)..........................       38        31        33        36        36        39        47        47        46                                                                  
 College.....................................       56        67        63        60        60        55        39        42        36                                                                  
 Never attended and other....................       c/        c/        c/        c/        c/        c/        c/         1        c/                                                                  
 At least one vehicle owned or leased........       88        71        89        92        92        92        83        88        77                                                                  
Average annual expenditures..................   $40,677   $24,229   $40,318   $48,330   $48,748   $44,330   $28,105   $32,243   $23,759                                                                 
 Food........................................    5,375     3,621     5,471     6,314     6,228     5,559     3,910     4,479     3,302                                                                  
    Food at home.............................    3,099     1,926     3,093     3,601     3,528     3,114     2,548     2,877     2,195                                                                  
      Cereals and bakery products............      450       287       442       542       500       423       386       418       352                                                                  
        Cereals and cereal products..........      154       113       163       191       169       133       120       128       112                                                                  
        Bakery products......................      296       174       279       351       332       290       266       290       240                                                                  
      Meats, poultry, fish, and eggs.........      798       460       817       918       929       807       641       745       529                                                                  
        Beef.................................      231       131       253       271       273       216       174       208       138                                                                  
        Pork.................................      167        95       162       198       188       169       144       169       117                                                                  
        Other meats..........................      101        52        96       122       117       103        84        97        70                                                                  
