Table 3. Age of reference person: Average annual expenditures and characteristics, Consumer Expenditure Survey, 2000                                                                                    
                                                                                                                                                                                                        
                                                                                                                                                                                                        
                                                 All      Under                                             65 and              75 and                                                                  
                    Item                       consumer     25      25-34     35-44     45-54     55-64      over     65-74      over                                                                   
                                                units                                                                                                                                                   
                                                                                                                                       
                                                                
Number of consumer units (in thousands)......  109,367     8,306    18,887    23,983    21,874    14,161    22,155    11,538    10,617                                                                  
Income before taxes a/ ......................  $44,649   $19,744   $45,498   $56,500   $58,889   $48,108   $25,220   $29,349   $20,563                                                                  
Income after taxes a/ .......................   41,532    18,813    42,665    52,626    54,149    44,109    23,890    27,553    19,759                                                                  
Age of the reference person..................     48.2      21.3      29.8      39.5      49.4      59.1      75.0      69.4      81.2                                                                  
Average number in consumer unit:                                                                                                                                                                        
 Persons.....................................      2.5       1.9       2.9       3.3       2.7       2.1       1.7       1.9       1.5                                                                  
 Children under 18...........................       .7        .4       1.1       1.3        .6        .2        .1        .1        b/                                                                  
 Persons 65 and over.........................       .3        b/        b/        b/        b/        .1       1.3       1.4       1.3                                                                  
 Earners.....................................      1.4       1.3       1.5       1.7       1.8       1.4        .4        .6        .2                                                                  
 Vehicles....................................      1.9       1.1       1.8       2.2       2.4       2.2       1.5       1.8       1.1                                                                  
Percent distribution:                                                                                                                                                                                   
 Male........................................       53        46        54        54        57        57        46        52        41                                                                  
 Female......................................       47        54        46        46        43        43        54        48        59                                                                  
 Homeowner...................................       66        12        46        69        75        81        80        82        77                                                                  
  With mortgage..............................       39         7        39        56        53        40        16        23         9                                                                  
  Without mortgage...........................       27         5         7        13        22        41        63        59        68                                                                  
 Renter......................................       34        88        54        31        25        19        20        18        23                                                                  
 Black.......................................       12        13        15        13        13        11         9        10         7                                                                  
 White and other.............................       88        87        85        87        87        89        91        90        93                                                                  
 Elementary (1-8)............................        6         2         3         3         4         8        15        10        20                                                                  
 High school (9-12)..........................       39        33        35        39        34        43        48        49        48                                                                  
 College.....................................       54        65        62        58        62        49        36        40        31                                                                  
 Never attended and other....................       c/        c/        c/        c/        c/        c/         1         1         1                                                                  
 At least one vehicle owned or leased........       88        71        89        92        92        92        81        87        75                                                                  
Average annual expenditures..................   $38,045   $22,543   $38,945   $45,149   $46,160   $39,340   $26,533   $30,782   $21,908                                                                 
 Food........................................    5,158     3,213     5,260     6,092     6,295     5,168     3,652     4,178     3,077                                                                  
    Food at home.............................    3,021     1,643     2,951     3,484     3,657     3,071     2,448     2,760     2,106                                                                  
      Cereals and bakery products............      453       238       429       531       560       441       376       414       334                                                                  
        Cereals and cereal products..........      156        90       167       190       180       140       123       133       112                                                                  
        Bakery products......................      297       148       263       341       380       301       253       281       222                                                                  
      Meats, poultry, fish, and eggs.........      795       437       770       918       970       832       626       727       515                                                                  
        Beef.................................      238       135       239       270       296       243       182       217       144                                                                  
        Pork.................................      167        89       155       186       198       186       143       168       116                                                                  
        Other meats..........................      101        55        98       120       121        99        79        86        70                                                                  
